address,lat,lon
"1702 CA-46 Wasco, CA 93280",35.601627,-119.3449384
"110 Tank Farm Rd San Luis Obispo, CA 93401",35.2468928,-120.6707892
"Froom Ranch Way San Luis Obispo, CA 93401",35.2582485,-120.6770283
"3017 Wilson Rd Bakersfield, CA 93304",35.3321246,-119.0356452
"350 Oak St Bakersfield, CA 93304",35.3611372,-119.0380735
"1448 N Blackstone Ave Fresno, CA 93703",36.762036,-119.7904271
"3122 N Millbrook Ave Fresno, CA 93703",36.7787737,-119.7634051
"3139 Alum Rock Ave, San Jose, CA 95127 San Jose, CA 95127",,
"1000 Olive St San Luis Obispo, CA 93405",35.2869931,-120.6656189
"790 Foothill Blvd San Luis Obispo, CA 93405",35.2941801,-120.6719627
"3074 Story Rd San Jose, CA 95127",37.3543443,-121.8190726
"1001 W Tehachapi Blvd Tehachapi, CA 93561",35.131788,-118.464558
"212 Madonna Rd San Luis Obispo, CA 93405",35.2637033,-120.6774706
"1575 Calle Joaquin San Luis Obispo, CA 93405",35.2439583,-120.6835015
"3298 E McKinley Ave Fresno, CA 93703",36.764924,-119.769193
"999 Story Rd San Jose, CA 95122",37.3319804,-121.8568222
"5158 Hollywood Blvd Los Angeles, CA 90027",34.1016708,-118.302455
"5410 Wilshire Blvd Los Angeles, CA 90036",34.0624094,-118.3463709
"7217 Melrose Ave Los Angeles, CA 90046",34.0835707,-118.3466713
"435 N Fairfax Ave Los Angeles, CA 90036",34.0789326,-118.3615441
"938 Embarcadero del Norte Goleta, CA 93117",,
"1920 29th St Sacramento, CA 95816",38.5634153,-121.4723572
